voicegroup000       voicegroup_dummy
voicegroup002       voicegroup_frlg_drumset
voicegroup003       voicegroup_frlg_drumset
voicegroup004       voicegroup_emerald_drumset_2
voicegroup005       voicegroup_piano_keysplit
voicegroup006       voicegroup_strings_keysplit
voicegroup007       voicegroup_unused
voicegroup008       voicegroup_tuba_keysplit
voicegroup009       voicegroup_french_horn_keysplit
voicegroup010       voicegroup_route110
voicegroup011       voicegroup_route101
voicegroup012       voicegroup_fanfare
voicegroup013       voicegroup_gym
voicegroup014       voicegroup_route120
voicegroup015       voicegroup_petalburg
voicegroup016       voicegroup_petalburg_drumset
voicegroup017       voicegroup_surf
voicegroup018       voicegroup_petalburg_woods
voicegroup019       voicegroup_oldale
voicegroup020       voicegroup_lilycove_museum
voicegroup021       voicegroup_route122
voicegroup023       voicegroup_oceanic_museum
voicegroup024       voicegroup_victory_gym_leader
voicegroup025       voicegroup_rg_victory_wild
voicegroup027       voicegroup_encounter_girl
voicegroup029       voicegroup_victory_league
voicegroup030       voicegroup_abandoned_ship
voicegroup032       voicegroup_fortree
voicegroup034       voicegroup_littleroot_test
voicegroup035       voicegroup_b_tower_rs
voicegroup038       voicegroup_roulette
voicegroup039       voicegroup_link_contest_p3
voicegroup040       voicegroup_link_contest_p1
voicegroup041       voicegroup_link_contest_p2
voicegroup042       voicegroup_link_contest_p4
voicegroup043       voicegroup_encounter_rich
voicegroup044       voicegroup_verdanturf
voicegroup045       voicegroup_rustboro
voicegroup046       voicegroup_poke_center
voicegroup047       voicegroup_route104
voicegroup048       voicegroup_route119
voicegroup049       voicegroup_cycling
voicegroup050       voicegroup_poke_mart
voicegroup051       voicegroup_littleroot
voicegroup052       voicegroup_mt_chimney
voicegroup053       voicegroup_encounter_female
voicegroup054       voicegroup_lilycove
voicegroup055       voicegroup_route111
voicegroup056       voicegroup_help
voicegroup057       voicegroup_underwater
voicegroup058       voicegroup_victory_trainer
voicegroup059       voicegroup_title
voicegroup060       voicegroup_intro
voicegroup064       voicegroup_route113
voicegroup065       voicegroup_encounter_aqua
voicegroup067       voicegroup_encounter_brendan
voicegroup068       voicegroup_ever_grande
voicegroup070       voicegroup_victory_aqua_magma
voicegroup072       voicegroup_game_corner
voicegroup073       voicegroup_dewford
voicegroup074       voicegroup_safari_zone
voicegroup075       voicegroup_victory_road
voicegroup077       voicegroup_sailing
voicegroup078       voicegroup_mt_pyre
voicegroup079       voicegroup_slateport
voicegroup080       voicegroup_mt_pyre_exterior
voicegroup081       voicegroup_school
voicegroup082       voicegroup_hall_of_fame
voicegroup083       voicegroup_fallarbor
voicegroup084       voicegroup_sealed_chamber
voicegroup088       voicegroup_intro_battle
voicegroup090       voicegroup_weather_groudon
voicegroup091       voicegroup_sootopolis
voicegroup093       voicegroup_hall_of_fame_room
voicegroup094       voicegroup_trick_house
voicegroup097       voicegroup_encounter_hiker
voicegroup101       voicegroup_credits
voicegroup103       voicegroup_b_frontier
voicegroup105       voicegroup_register_match_call
voicegroup106       voicegroup_b_pyramid
voicegroup108       voicegroup_b_palace
voicegroup109       voicegroup_rayquaza_appears
voicegroup110       voicegroup_b_tower
voicegroup112       voicegroup_b_pike
voicegroup114       voicegroup_vs_rayquaza
voicegroup115       voicegroup_vs_frontier_brain
voicegroup116       voicegroup_vs_mew
voicegroup117       voicegroup_vs_wild
voicegroup118       voicegroup_vs_aqua_magma
voicegroup119       voicegroup_vs_trainer
voicegroup120       voicegroup_vs_gym_leader
voicegroup121       voicegroup_vs_champion
voicegroup122       voicegroup_vs_regi
voicegroup123       voicegroup_vs_kyogre_groudon
voicegroup124       voicegroup_vs_rival
voicegroup125       voicegroup_vs_elite_four
voicegroup126       voicegroup_vs_aqua_magma_leader
voicegroup127       voicegroup_rs_sfx_1
voicegroup128       voicegroup_rs_sfx_2
voicegroup129       voicegroup_frlg_sfx
voicegroup130       voicegroup_bard
voicegroup131       voicegroup_rg_follow_me
voicegroup132       voicegroup_rg_game_corner
voicegroup133       voicegroup_rg_rocket_hideout
voicegroup134       voicegroup_rg_gym
voicegroup135       voicegroup_rg_jigglypuff
voicegroup136       voicegroup_rg_intro_fight
voicegroup137       voicegroup_rg_title
voicegroup138       voicegroup_rg_cinnabar
voicegroup139       voicegroup_rg_lavender
voicegroup140       voicegroup_rg_heal
voicegroup141       voicegroup_rg_cycling
voicegroup142       voicegroup_rg_encounter_rocket
voicegroup143       voicegroup_rg_encounter_girl
voicegroup144       voicegroup_rg_encounter_boy
voicegroup145       voicegroup_rg_hall_of_fame
voicegroup146       voicegroup_rg_viridian_forest
voicegroup147       voicegroup_rg_mt_moon
voicegroup148       voicegroup_rg_poke_mansion
voicegroup149       voicegroup_rg_credits
voicegroup150       voicegroup_rg_route1
voicegroup151       voicegroup_rg_route24
voicegroup152       voicegroup_rg_route3
voicegroup153       voicegroup_rg_route11
voicegroup154       voicegroup_rg_victory_road
voicegroup155       voicegroup_rg_vs_gym_leader
voicegroup156       voicegroup_rg_vs_trainer
voicegroup157       voicegroup_rg_vs_wild
voicegroup158       voicegroup_rg_vs_champion
voicegroup159       voicegroup_rg_pallet
voicegroup160       voicegroup_rg_oak_lab
voicegroup161       voicegroup_rg_oak
voicegroup162       voicegroup_rg_poke_center
voicegroup163       voicegroup_rg_ss_anne
voicegroup164       voicegroup_rg_surf
voicegroup165       voicegroup_rg_poke_tower
voicegroup166       voicegroup_rg_silph
voicegroup167       voicegroup_rg_fuchsia
voicegroup168       voicegroup_rg_celadon
voicegroup169       voicegroup_rg_victory_trainer
voicegroup170       voicegroup_victory_wild
voicegroup171       voicegroup_rg_victory_gym_leader
voicegroup172       voicegroup_rg_vermillion
voicegroup173       voicegroup_rg_pewter
voicegroup174       voicegroup_rg_encounter_rival
voicegroup175       voicegroup_rg_dex_rating
